Source,Target,Type,Id,Label,timeset,Weight
1589,689,Undirected,42838,,,1
2095,692,Undirected,29036,,,1
1589,692,Undirected,28996,,,1
2095,708,Undirected,44106,,,1
1589,708,Undirected,44104,,,1
1210,720,Undirected,37824,,,1
1589,720,Undirected,37810,,,1
1589,723,Undirected,38019,,,1
2095,723,Undirected,37987,,,1
1589,724,Undirected,12354,,,1
1589,737,Undirected,1367,,,1
1589,740,Undirected,8162,,,1
2095,740,Undirected,8081,,,1
741,984,Undirected,11036,,,1
1210,750,Undirected,22684,,,1
2095,752,Undirected,42106,,,1
1589,756,Undirected,8219,,,1
1589,760,Undirected,43190,,,1
2095,760,Undirected,43188,,,1
1851,763,Undirected,7490,,,1
3065,764,Undirected,35730,,,1
3071,768,Undirected,35784,,,1
1851,768,Undirected,35773,,,1
1851,787,Undirected,23263,,,1
1589,807,Undirected,14008,,,1
2095,807,Undirected,13961,,,1
1400,811,Undirected,11617,,,1
1934,814,Undirected,40536,,,1
1934,825,Undirected,42996,,,1
2095,838,Undirected,17432,,,1
1589,838,Undirected,17415,,,1
2095,842,Undirected,1167,,,1
1589,844,Undirected,20614,,,1
1851,852,Undirected,30365,,,1
1589,852,Undirected,30343,,,1
1934,854,Undirected,25913,,,1
1400,862,Undirected,8759,,,1
1589,867,Undirected,21319,,,1
2095,867,Undirected,21310,,,1
1934,870,Undirected,24399,,,1
1589,878,Undirected,26341,,,1
3071,898,Undirected,30304,,,1
3065,913,Undirected,21567,,,1
1589,925,Undirected,30079,,,1
2095,925,Undirected,30045,,,1
1851,928,Undirected,2737,,,1
1589,928,Undirected,2643,,,1
2095,928,Undirected,2636,,,1
1400,934,Undirected,1648,,,1
1589,937,Undirected,6356,,,1
2095,937,Undirected,6315,,,1
2833,956,Undirected,12108,,,1
1851,961,Undirected,28404,,,1
962,1431,Undirected,47025,,,1
962,2282,Undirected,30143,,,1
962,1619,Undirected,26346,,,1
968,1935,Undirected,42936,,,1
1589,968,Undirected,7284,,,1
1589,970,Undirected,27781,,,1
2095,970,Undirected,27704,,,1
1589,973,Undirected,980,,,1
1589,974,Undirected,5517,,,1
1589,980,Undirected,922,,,1
2095,985,Undirected,14663,,,1
1589,985,Undirected,14626,,,1
1851,991,Undirected,4570,,,1
2095,997,Undirected,24244,,,1
1589,997,Undirected,24243,,,1
1589,1004,Undirected,1924,,,1
1934,1005,Undirected,34187,,,1
1012,1233,Undirected,6855,,,1
1589,1024,Undirected,786,,,1
1027,1773,Undirected,40140,,,1
1210,1031,Undirected,46753,,,1
2125,1062,Undirected,2070,,,1
1589,1062,Undirected,2049,,,1
2095,1062,Undirected,2011,,,1
2095,1081,Undirected,559,,,1
2095,1085,Undirected,4942,,,1
1851,1086,Undirected,4966,,,1
1589,1088,Undirected,5047,,,1
2095,1088,Undirected,4994,,,1
1210,1102,Undirected,34110,,,1
2095,1102,Undirected,34104,,,1
1589,1102,Undirected,34028,,,1
1108,2567,Undirected,30901,,,1
1108,2399,Undirected,24894,,,1
1108,1214,Undirected,16463,,,1
1108,2536,Undirected,8458,,,1
1108,2390,Undirected,832,,,1
1934,1116,Undirected,5613,,,1
1210,1129,Undirected,36026,,,1
1589,1129,Undirected,35997,,,1
1589,1130,Undirected,2472,,,1
1137,2408,Undirected,18465,,,1
1851,1144,Undirected,28330,,,1
1589,1144,Undirected,28327,,,1
1851,1163,Undirected,21504,,,1
2095,1163,Undirected,21482,,,1
